Carats,$ Price
-2401,10207.982
-2301,10207.982
-2201,10205.99
-2101,10207.9
-2001,10209.9
-1901,10209.9
-1801,10207.59
-1701,10207.59
-1601,10209.9
-1501,10239.0001
-1401,10300
-1301,10320.0827
-1201,10345.68
-1101,10366.93
-1001,10391.99
-901,10426.25
-801,10454.34
-701,10473.78
-601,10494.29
-501,10505.39
-401,10516.1
-301,10524
-201,10535.75
-101,10550
-1,10567.81
1,10568.9999
101,10588.7999
201,10599.9999
301,10609.9999
401,10619.8899
501,10633.1599
601,10643.6799
701,10651.2999
801,10673.6199
901,10694.3999
1001,10711.5899
1101,10737.8599
1201,10774.7499
1301,10800
1401,10805.9999
1501,10849.4992
1601,10850
1701,10850
1801,10849.9999
1901,10849.4992
2001,10849.9999
2101,10849.4992
2201,10848.2767
2301,10848.2767
2401,10847.1058
